stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
5046_01,,JA付知支店,,35.645159,137.434883,5046_01,,0,
6001_01,,総合福祉センター,,35.56013,137.45296,6001_01,,0,
6002_01,,郵便局前（福岡）,,35.56395,137.45296,6002_01,,0,
6003_01,,長根会館,,35.56726,137.45429,6003_01,,0,
6004_01,,中学校前,,35.57247,137.45336,6004_01,,0,
6005_01,,曙集会所,,35.5772,137.4577,6005_01,,0,
6006_01,,てんりょう,,35.58275,137.46003,6006_01,,0,
6007_01,,馬場上,,35.58585,137.46386,6007_01,,0,
6008_01,,大黒屋,,35.58723,137.46414,6008_01,,0,
6009_01,,見佐島,,35.58957,137.45939,6009_01,,0,
6010_01,,橋本屋,,35.59105,137.45822,6010_01,,0,
6011_01,,大萱,,35.60066,137.45679,6011_01,,0,
6012_01,,島田橋,,35.61205,137.45975,6012_01,,0,
6013_01,,向田瀬,,35.61743,137.46006,6013_01,,0,
6014_01,,松井石油店裏,,35.62158,137.46151,6014_01,,0,
6015_01,,万松軒,,35.62348,137.46261,6015_01,,0,
6016_01,,宮脇,,35.63173,137.46402,6016_01,,0,
6017_01,,矢平,,35.64655,137.4684,6017_01,,0,
6018_01,,矢平クラブ,,35.649237,137.468835,6018_01,,0,
6019_01,,病院前,,35.559085,137.449109,6019_01,,0,
6019_02,,病院前,,35.558792,137.449238,6019_02,,0,
6020_01,,夏焼旧集会所,,35.55654,137.44217,6020_01,,0,
6021_01,,太陽建設,,35.55568,137.43543,6021_01,,0,
6022_01,,中上一,,35.55001,137.43594,6022_01,,0,
6023_01,,中上二,,35.54535,137.43686,6023_01,,0,
6024_01,,西組,,35.5414,137.43468,6024_01,,0,
6025_01,,西組集会所上,,35.53689,137.43065,6025_01,,0,
6026_01,,木積沢橋,,35.52698,137.42947,6026_01,,0,
6027_01,,木積沢,,35.5258,137.43331,6027_01,,0,
6028_01,,記念碑,,35.5259,137.44373,6028_01,,0,
6029_01,,若山,,35.51038,137.43507,6029_01,,0,
6030_01,,若山マレットゴルフ場,,35.50667,137.43345,6030_01,,0,
6031_01,,植苗木交差点,,35.56337,137.45972,6031_01,,0,
6032_01,,植苗木集会所,,35.56568,137.46056,6032_01,,0,
6033_01,,深谷製作所,,35.56905,137.46073,6033_01,,0,
6034_01,,田代,,35.58278,137.46918,6034_01,,0,
6035_01,,東組,,35.58818,137.4697,6035_01,,0,
6036_01,,本郷（福岡）,,35.59407,137.47089,6036_01,,0,
6037_01,,山之田住宅,,35.55726,137.45417,6037_01,,0,
6038_01,,新聞販売店前,,35.55575,137.45805,6038_01,,0,
6039_01,,小池旧集会所,,35.55438,137.46272,6039_01,,0,
6040_01,,小池三叉路,,35.5525,137.46623,6040_01,,0,
6041_01,,山中弘法堂,,35.55039,137.46537,6041_01,,0,
6042_01,,上之平堤下,,35.55184,137.45473,6042_01,,0,
6043_01,,上之平,,35.55065,137.45282,6043_01,,0,
6044_01,,関戸,,35.54495,137.448,6044_01,,0,
6045_01,,林技建,,35.53637,137.44745,6045_01,,0,
6046_01,,高山大橋西,,35.53419,137.44429,6046_01,,0,
6047_01,,安田屋,,35.53635,137.44329,6047_01,,0,
6048_01,,知原集会所,,35.53937,137.44342,6048_01,,0,
6049_01,,どうだぶち,,35.54309,137.4425,6049_01,,0,
6050_01,,糸魚川建築前,,35.55004,137.44081,6050_01,,0,
6051_01,,夏焼,,35.55404,137.44104,6051_01,,0,
6052_01,,野久保,,35.56291,137.45127,6052_01,,0,
6053_01,,文化センター,,35.56576,137.44947,6053_01,,0,
6054_01,,松尾口,,35.56394,137.4458,6054_01,,0,
6055_01,,松尾旧集会所,,35.56725,137.43591,6055_01,,0,
6056_01,,彩の里,,35.56824,137.43107,6056_01,,0,
6057_01,,細ヶ谷,,35.57117,137.4322,6057_01,,0,
6058_01,,お不動様,,35.57302,137.43622,6058_01,,0,
6059_01,,田之尻,,35.57414,137.44316,6059_01,,0,
6060_01,,高之巣,,35.58133,137.44848,6060_01,,0,
6061_01,,八布施,,35.58682,137.45149,6061_01,,0,
6062_01,,八布施集会場,,35.58938,137.45325,6062_01,,0,
6063_01,,柏原,,35.59666,137.43902,6063_01,,0,
6064_01,,芸術思考館,,35.59877,137.42727,6064_01,,0,
6065_01,,新田集会所,,35.59629,137.40798,6065_01,,0,
6066_01,,スクールバス発着所,,35.596,137.40502,6066_01,,0,
6067_01,,二本松,,35.59515,137.39743,6067_01,,0,
6068_01,,馬小屋,,35.60464,137.41101,6068_01,,0,
7001_01,,蛭川診療所,,35.52937,137.38052,7001_01,,0,
7002_01,,あらた,,35.52729,137.38304,7002_01,,0,
7003_01,,蛭川総合事務所,,35.52272,137.38126,7003_01,,0,
7004_01,,矢柱住宅,,35.5185,137.37977,7004_01,,0,
7005_01,,樺瀬東,,35.51572,137.38595,7005_01,,0,
7006_01,,みはらし台辻,,35.51458,137.38765,7006_01,,0,
7007_01,,森機械,,35.51188,137.39127,7007_01,,0,
7008_01,,四辻,,35.50735,137.39639,7008_01,,0,
7009_01,,旧蛭川幼稚園裏,,35.5056,137.40005,7009_01,,0,
7010_01,,田原消防詰所,,35.50359,137.40113,7010_01,,0,
7011_01,,紅梅屋,,35.50061,137.40006,7011_01,,0,
7012_01,,博石館裏,,35.49699,137.40023,7012_01,,0,
7013_01,,奥渡公民館,,35.4878,137.40212,7013_01,,0,
7014_01,,若山口,,35.49262,137.41636,7014_01,,0,
7015_01,,矢筈口,,35.50027,137.40875,7015_01,,0,
7016_01,,札場,,35.50014,137.40507,7016_01,,0,
7017_01,,田原,,35.50446,137.40263,7017_01,,0,
7018_01,,田原新づつみ,,35.50616,137.40193,7018_01,,0,
7019_01,,一之瀬東班口,,35.51195,137.40445,7019_01,,0,
7020_01,,袖ヶ沢,,35.51726,137.40664,7020_01,,0,
7021_01,,大荷付場,,35.52363,137.40918,7021_01,,0,
7022_01,,岩寿口,,35.5289,137.40708,7022_01,,0,
7023_01,,旧一色消防詰所,,35.52681,137.40069,7023_01,,0,
7024_01,,小玉石,,35.5259,137.39674,7024_01,,0,
7025_01,,曽我接骨院,,35.52489,137.39233,7025_01,,0,
7026_01,,尾越,,35.529,137.3884,7026_01,,0,
7027_01,,町切公民館,,35.52906,137.38493,7027_01,,0,
7028_01,,柏ヶ根口,,35.53079,137.37707,7028_01,,0,
7029_01,,上海戸,,35.53308,137.37745,7029_01,,0,
7030_01,,蜂屋海戸,,35.53571,137.37926,7030_01,,0,
7031_01,,平保海戸口,,35.53837,137.38205,7031_01,,0,
7032_01,,鍛冶屋畑,,35.54009,137.3821,7032_01,,0,
7033_01,,由喜治療院前,,35.53528,137.37768,7033_01,,0,
7034_01,,宮裏,,35.53306,137.37408,7034_01,,0,
7035_01,,和田口,,35.536,137.37131,7035_01,,0,
7036_01,,稲舟,,35.53862,137.36968,7036_01,,0,
7037_01,,東鉄バス終点,,35.54128,137.36842,7037_01,,0,
7038_01,,隠平,,35.54468,137.36792,7038_01,,0,
7039_01,,遠ヶ根２,,35.55281,137.36666,7039_01,,0,
7040_01,,遠ヶ根１,,35.55847,137.36282,7040_01,,0,
7041_01,,一谷那木,,35.55091,137.36341,7041_01,,0,
7042_01,,東鉄バス車庫,,35.54285,137.36785,7042_01,,0,
7043_01,,山の上辻,,35.53904,137.36626,7043_01,,0,
7044_01,,鉱山口,,35.53732,137.36671,7044_01,,0,
7045_01,,東海食品,,35.53339,137.36802,7045_01,,0,
7046_01,,向山辻,,35.53015,137.36987,7046_01,,0,
7047_01,,辻屋橋,,35.53253,137.37179,7047_01,,0,
7048_01,,蛭川郵便局,,35.52838,137.3793,7048_01,,0,
7049_01,,JA蛭川支店,,35.52715,137.38015,7049_01,,0,
7050_01,,井口電気前,,35.52553,137.37781,7050_01,,0,
7051_01,,蛭川中学校下,,35.52491,137.3755,7051_01,,0,
7052_01,,棚田公民館,,35.52316,137.37637,7052_01,,0,
7053_01,,勤彊の森,,35.5201,137.37144,7053_01,,0,
7054_01,,安江造園前,,35.52111,137.37712,7054_01,,0,
7055_01,,いわくら,,35.51951,137.37725,7055_01,,0,
7056_01,,熊崎石材,,35.51769,137.37633,7056_01,,0,
7057_01,,げんねしばら,,35.51316,137.37734,7057_01,,0,
7058_01,,かやの木,,35.51146,137.38046,7058_01,,0,
7059_01,,長瀞,,35.51093,137.38533,7059_01,,0,
7060_01,,長瀞橋,,35.51255,137.38654,7060_01,,0,
7061_01,,やすらぎ荘前,,35.51319,137.39447,7061_01,,0,
7062_01,,蛍橋,,35.5147,137.39957,7062_01,,0,
7063_01,,森下,,35.51732,137.40115,7063_01,,0,
7064_01,,一色公民館,,35.52061,137.40197,7064_01,,0,
7065_01,,ふんどし岩,,35.52315,137.40192,7065_01,,0,
7066_01,,先庄屋,,35.52326,137.39093,7066_01,,0,
7067_01,,つげ石材,,35.52006,137.39053,7067_01,,0,
7068_01,,みはらし台運動公園,,35.51606,137.38913,7068_01,,0,
7069_01,,奈良井辻,,35.51922,137.3831,7069_01,,0,
7070_01,,鳩吹公民館,,35.52001,137.38258,7070_01,,0,
